Vardas             Pavarde                 ND1       ND2       ND3       ND4       ND5 Egzaminas
Vardas42             Pavarde42          5          8          3          9          4
Vardas43             Pavarde43          2          10          3          9          7
Vardas44             Pavarde44          3          1          1          5          5
Vardas45             Pavarde45          1          8          7          9          1
Vardas46             Pavarde46          9          8          2          9          6
Vardas47             Pavarde47          8          1          6          3          2
Vardas48             Pavarde48          1          2          2          6          7
Vardas49             Pavarde49          7          3          9          7          2
Vardas50             Pavarde50          4          1          5          1          5
Vardas51             Pavarde51          3          5          1          1          2
Vardas52             Pavarde52          8          10          8          7          10
Vardas53             Pavarde53          5          3          9          6          9
Vardas54             Pavarde54          3          7          6          1          2
Vardas55             Pavarde55          9          2          7          3          10
Vardas56             Pavarde56          3          2          2          9          4
Vardas57             Pavarde57          6          10          6          6          6
Vardas58             Pavarde58          6          1          6          10          3
Vardas59             Pavarde59          8          3          1          7          2
Vardas60             Pavarde60          10          10          9          10          2
Vardas61             Pavarde61          10          6          8          6          7
Vardas62             Pavarde62          5          1          10          10          6
Vardas63             Pavarde63          9          5          3          8          7
Vardas64             Pavarde64          5          3          10          5          2
Vardas65             Pavarde65          10          9          10          10          2
Vardas66             Pavarde66          8          6          10          5          9
Vardas67             Pavarde67          9          2          2          7          8
Vardas68             Pavarde68          7          6          9          5          3
Vardas69             Pavarde69          5          2          5          7          4
Vardas70             Pavarde70          3          1          5          7          3
Vardas71             Pavarde71          3          8          10          9          1
Vardas72             Pavarde72          9          9          8          5          4
Vardas73             Pavarde73          4          7          4          5          6
Vardas74             Pavarde74          9          1          10          9          9
Vardas75             Pavarde75          4          10          2          8          9
Vardas76             Pavarde76          1          10          10          5          9
Vardas77             Pavarde77          6          7          8          10          4
Vardas78             Pavarde78          6          7          6          2          3
Vardas79             Pavarde79          1          7          6          5          6
Vardas80             Pavarde80          4          8          6          8          3
Vardas81             Pavarde81          1          3          10          4          1
Vardas82             Pavarde82          8          5          2          6          8
Vardas83             Pavarde83          5          9          8          4          3
Vardas84             Pavarde84          2          9          5          3          8
Vardas85             Pavarde85          1          6          8          8          1
Vardas86             Pavarde86          8          5          9          7          10
Vardas87             Pavarde87          3          8          8          6          9
Vardas88             Pavarde88          10          8          1          7          9
Vardas89             Pavarde89          2          6          5          3          5
Vardas90             Pavarde90          3          7          5          6          9
Vardas91             Pavarde91          10          8          3          9          8
Vardas92             Pavarde92          7          7          9          4          1
Vardas93             Pavarde93          8          1          1          2          10
Vardas94             Pavarde94          9          2          3          8          8
Vardas95             Pavarde95          5          9          2          4          2
Vardas96             Pavarde96          2          10          9          10          7
Vardas97             Pavarde97          10          10          4          3          2
Vardas98             Pavarde98          7          9          7          8          10
Vardas99             Pavarde99          3          4          5          9          9
Vardas100             Pavarde100          2          10          4          9          5
Vardas101             Pavarde101          7          6          5          3          8
Vardas102             Pavarde102          4          7          4          9          9
Vardas103             Pavarde103          9          1          7          8          3
Vardas104             Pavarde104          6          4          8          10          3
Vardas105             Pavarde105          10          2          5          1          4
Vardas106             Pavarde106          5          5          9          8          10
Vardas107             Pavarde107          9          1          2          2          5
Vardas108             Pavarde108          2          9          3          10          10
Vardas109             Pavarde109          1          3          5          1          10
Vardas110             Pavarde110          1          2          9          3          4
Vardas111             Pavarde111          4          4          6          1          8
Vardas112             Pavarde112          3          6          2          10          2
Vardas113             Pavarde113          6          1          9          8          10
Vardas114             Pavarde114          10          3          10          1          4
Vardas115             Pavarde115          5          1          5          8          10
Vardas116             Pavarde116          4          6          5          1          9
Vardas117             Pavarde117          10          5          1          7          7
Vardas118             Pavarde118          8          10          4          6          3
Vardas119             Pavarde119          3          10          3          2          7
Vardas120             Pavarde120          4          4          2          5          3
Vardas121             Pavarde121          5          8          6          5          10
Vardas122             Pavarde122          1          3          10          8          7
Vardas123             Pavarde123          6          3          6          6          4
Vardas124             Pavarde124          2          7          4          9          7
Vardas125             Pavarde125          7          3          3          3          4
Vardas126             Pavarde126          8          2          5          9          4
Vardas127             Pavarde127          9          4          1          7          9
Vardas128             Pavarde128          2          4          4          3          5
Vardas129             Pavarde129          5          5          6          3          7
Vardas130             Pavarde130          10          4          6          6          6
Vardas131             Pavarde131          8          4          8          5          6
Vardas132             Pavarde132          3          3          2          7          7
Vardas133             Pavarde133          9          9          9          6          4
Vardas134             Pavarde134          5          5          7          6          5
Vardas135             Pavarde135          10          6          1          10          7
Vardas136             Pavarde136          10          7          6          2          2
Vardas137             Pavarde137          6          1          8          8          4
Vardas138             Pavarde138          1          8          6          9          10
Vardas139             Pavarde139          7          9          2          4          1
Vardas140             Pavarde140          2          10          2          8          9
Vardas141             Pavarde141          9          9          7          3          6
Vardas142             Pavarde142          7          1          8          7          5
Vardas143             Pavarde143          8          1          3          2          9
Vardas144             Pavarde144          3          4          8          1          4
Vardas145             Pavarde145          10          3          8          8          1
Vardas146             Pavarde146          9          2          10          7          7
Vardas147             Pavarde147          9          5          7          1          6
Vardas148             Pavarde148          9          10          7          2          1
Vardas149             Pavarde149          9          6          3          6          3
Vardas150             Pavarde150          3          4          10          5          2
Vardas151             Pavarde151          5          5          8          5          2
Vardas152             Pavarde152          4          3          9          3          6
Vardas153             Pavarde153          6          2          3          1          2
Vardas154             Pavarde154          4          5          8          7          9
Vardas155             Pavarde155          1          3          8          7          6
Vardas156             Pavarde156          4          5          7          7          10
Vardas157             Pavarde157          7          5          9          5          7
Vardas158             Pavarde158          1          10          5          1          8
Vardas159             Pavarde159          2          6          4          3          4
Vardas160             Pavarde160          10          9          4          6          9
Vardas161             Pavarde161          8          7          9          2          7
Vardas162             Pavarde162          9          8          9          10          6
Vardas163             Pavarde163          7          5          2          7          7
Vardas164             Pavarde164          6          4          7          3          8
Vardas165             Pavarde165          3          8          3          7          1
Vardas166             Pavarde166          2          9          4          7          9
Vardas167             Pavarde167          2          6          4          3          7
Vardas168             Pavarde168          5          5          3          3          2
Vardas169             Pavarde169          2          9          3          3          4
Vardas170             Pavarde170          1          3          5          5          6
Vardas171             Pavarde171          8          7          8          5          5
Vardas172             Pavarde172          7          7          5          4          4
Vardas173             Pavarde173          9          8          4          8          5
Vardas174             Pavarde174          2          2          2          10          3
Vardas175             Pavarde175          3          8          2          5          2
Vardas176             Pavarde176          3          3          1          4          5
Vardas177             Pavarde177          1          3          6          4          5
Vardas178             Pavarde178          7          9          1          3          1
Vardas179             Pavarde179          10          3          1          8          9
Vardas180             Pavarde180          3          4          7          1          5
Vardas181             Pavarde181          5          2          3          10          1
Vardas182             Pavarde182          9          6          1          9          8
Vardas183             Pavarde183          1          7          1          5          5
Vardas184             Pavarde184          4          2          5          4          6
Vardas185             Pavarde185          8          5          10          6          5
Vardas186             Pavarde186          9          7          10          6          8
Vardas187             Pavarde187          3          2          10          10          6
Vardas188             Pavarde188          1          6          10          6          5
Vardas189             Pavarde189          10          5          6          8          4
Vardas190             Pavarde190          6          6          8          8          4
Vardas191             Pavarde191          10          2          7          10          10
Vardas192             Pavarde192          10          5          5          10          7
Vardas193             Pavarde193          5          8          7          4          4
Vardas194             Pavarde194          1          9          2          6          8
Vardas195             Pavarde195          10          8          5          8          1
Vardas196             Pavarde196          6          2          10          4          1
Vardas197             Pavarde197          2          5          10          7          10
Vardas198             Pavarde198          2          2          2          6          10
Vardas199             Pavarde199          4          7          9          1          3
Vardas200             Pavarde200          2          7          5          7          1
Vardas201             Pavarde201          6          7          6          4          4
Vardas202             Pavarde202          6          4          9          10          4
Vardas203             Pavarde203          7          2          3          7          6
Vardas204             Pavarde204          1          7          2          8          2
Vardas205             Pavarde205          10          8          1          8          9
Vardas206             Pavarde206          10          8          4          5          1
Vardas207             Pavarde207          3          4          10          1          1
Vardas208             Pavarde208          1          4          9          4          6
Vardas209             Pavarde209          1          9          1          6          10
Vardas210             Pavarde210          6          3          7          1          9
Vardas211             Pavarde211          3          6          4          8          3
Vardas212             Pavarde212          1          2          7          9          10
Vardas213             Pavarde213          1          9          1          4          3
Vardas214             Pavarde214          4          10          2          8          10
Vardas215             Pavarde215          1          6          6          7          9
Vardas216             Pavarde216          3          2          8          6          6
Vardas217             Pavarde217          9          5          7          2          10
Vardas218             Pavarde218          7          2          7          8          7
Vardas219             Pavarde219          5          2          3          4          9
Vardas220             Pavarde220          4          6          3          2          3
Vardas221             Pavarde221          3          4          6          10          8
Vardas222             Pavarde222          2          5          4          4          6
Vardas223             Pavarde223          9          6          9          8          6
Vardas224             Pavarde224          6          9          5          9          10
Vardas225             Pavarde225          10          7          6          4          4
Vardas226             Pavarde226          2          1          5          7          8
Vardas227             Pavarde227          5          3          9          10          5
Vardas228             Pavarde228          4          8          2          4          1
Vardas229             Pavarde229          10          10          3          1          4
Vardas230             Pavarde230          4          3          8          9          10
Vardas231             Pavarde231          6          10          10          3          2
Vardas232             Pavarde232          10          2          9          3          6
Vardas233             Pavarde233          7          3          10          8          3
Vardas234             Pavarde234          5          2          5          9          2
Vardas235             Pavarde235          7          2          7          9          6
Vardas236             Pavarde236          10          1          8          8          4
Vardas237             Pavarde237          7          7          3          2          7
Vardas238             Pavarde238          9          10          7          1          8
Vardas239             Pavarde239          4          10          7          1          5
Vardas240             Pavarde240          4          1          4          2          2
Vardas241             Pavarde241          5          5          1          1          4
Vardas242             Pavarde242          7          5          10          1          1
Vardas243             Pavarde243          2          6          7          7          5
Vardas244             Pavarde244          2          2          3          7          9
Vardas245             Pavarde245          9          5          2          10          5
Vardas246             Pavarde246          1          3          7          6          1
Vardas247             Pavarde247          9          3          9          7          3
Vardas248             Pavarde248          6          2          1          5          8
Vardas249             Pavarde249          5          5          9          5          7
Vardas250             Pavarde250          2          6          5          10          2
Vardas251             Pavarde251          10          4          3          7          5
Vardas252             Pavarde252          2          5          10          3          4
Vardas253             Pavarde253          10          4          3          6          8
Vardas254             Pavarde254          7          8          8          6          6
Vardas255             Pavarde255          7          2          7          2          9
Vardas256             Pavarde256          6          10          8          2          7
Vardas257             Pavarde257          7          3          8          7          10
Vardas258             Pavarde258          5          4          5          9          1
Vardas259             Pavarde259          9          8          2          9          10
Vardas260             Pavarde260          4          4          5          5          2
Vardas261             Pavarde261          1          10          10          4          5
Vardas262             Pavarde262          7          2          7          6          6
Vardas263             Pavarde263          7          2          6          10          7
Vardas264             Pavarde264          6          5          3          8          10
Vardas265             Pavarde265          2          4          6          9          7
Vardas266             Pavarde266          8          4          9          9          2
Vardas267             Pavarde267          1          2          3          4          6
Vardas268             Pavarde268          1          7          7          10          6
Vardas269             Pavarde269          10          1          5          3          5
Vardas270             Pavarde270          4          1          4          10          2
Vardas271             Pavarde271          4          3          5          7          8
Vardas272             Pavarde272          3          9          4          8          8
Vardas273             Pavarde273          5          5          3          8          7
Vardas274             Pavarde274          8          2          10          7          3
Vardas275             Pavarde275          4          10          5          9          10
Vardas276             Pavarde276          5          3          9          8          6
Vardas277             Pavarde277          4          9          7          5          6
Vardas278             Pavarde278          10          7          5          10          2
Vardas279             Pavarde279          7          10          7          2          3
Vardas280             Pavarde280          6          4          2          6          10
Vardas281             Pavarde281          10          3          2          1          1
Vardas282             Pavarde282          5          4          4          9          3
Vardas283             Pavarde283          7          1          2          5          4
Vardas284             Pavarde284          4          8          6          8          3
Vardas285             Pavarde285          4          10          5          7          2
Vardas286             Pavarde286          6          6          4          2          9
Vardas287             Pavarde287          4          3          8          6          7
Vardas288             Pavarde288          9          3          2          4          9
Vardas289             Pavarde289          3          8          7          10          7
Vardas290             Pavarde290          7          5          3          5          3
Vardas291             Pavarde291          7          9          10          1          9
Vardas292             Pavarde292          7          10          5          1          5
Vardas293             Pavarde293          1          4          9          4          6
Vardas294             Pavarde294          5          4          8          8          4
Vardas295             Pavarde295          1          2          7          3          8
Vardas296             Pavarde296          3          7          1          3          1
Vardas297             Pavarde297          8          6          3          6          4
Vardas298             Pavarde298          10          8          4          9          3
Vardas299             Pavarde299          7          9          7          4          10
Vardas300             Pavarde300          10          4          1          8          10
Vardas301             Pavarde301          2          2          10          5          6
Vardas302             Pavarde302          8          3          10          3          10
Vardas303             Pavarde303          1          7          8          3          4
Vardas304             Pavarde304          6          9          5          9          1
Vardas305             Pavarde305          9          1          10          8          7
Vardas306             Pavarde306          2          2          7          3          5
Vardas307             Pavarde307          2          1          1          9          4
Vardas308             Pavarde308          2          6          1          5          6
Vardas309             Pavarde309          4          6          2          4          10
Vardas310             Pavarde310          1          5          9          3          8
Vardas311             Pavarde311          2          4          4          2          7
Vardas312             Pavarde312          4          7          10          8          4
Vardas313             Pavarde313          7          1          8          3          2
Vardas314             Pavarde314          7          5          1          2          3
Vardas315             Pavarde315          3          4          2          8          2
Vardas316             Pavarde316          1          7          3          1          5
Vardas317             Pavarde317          7          10          10          3          10
Vardas318             Pavarde318          5          6          5          9          5
Vardas319             Pavarde319          2          5          4          7          9
Vardas320             Pavarde320          2          1          9          7          6
Vardas321             Pavarde321          10          3          6          3          1
Vardas322             Pavarde322          1          8          10          9          3
Vardas323             Pavarde323          7          3          8          9          7
Vardas324             Pavarde324          5          10          3          9          1
Vardas325             Pavarde325          3          4          4          1          5
Vardas326             Pavarde326          4          4          6          2          9
Vardas327             Pavarde327          2          7          10          5          4
Vardas328             Pavarde328          9          3          8          10          1
Vardas329             Pavarde329          6          6          7          1          10
Vardas330             Pavarde330          7          6          9          5          8
Vardas331             Pavarde331          9          6          2          7          6
Vardas332             Pavarde332          8          5          8          2          4
Vardas333             Pavarde333          4          5          3          1          10
Vardas334             Pavarde334          2          6          9          4          3
Vardas335             Pavarde335          2          8          7          1          2
Vardas336             Pavarde336          6          1          10          6          4
Vardas337             Pavarde337          5          7          1          6          3
Vardas338             Pavarde338          5          3          3          6          4
Vardas339             Pavarde339          1          2          5          6          5
Vardas340             Pavarde340          6          1          10          4          1
Vardas341             Pavarde341          6          3          4          9          4
Vardas342             Pavarde342          2          7          10          5          1
Vardas343             Pavarde343          2          3          1          7          3
Vardas344             Pavarde344          2          10          1          10          8
Vardas345             Pavarde345          8          9          5          9          9
Vardas346             Pavarde346          1          2          10          8          1
Vardas347             Pavarde347          6          1          9          2          10
Vardas348             Pavarde348          9          8          8          8          2
Vardas349             Pavarde349          5          4          2          5          7
Vardas350             Pavarde350          8          5          10          10          7
Vardas351             Pavarde351          4          3          8          6          6
Vardas352             Pavarde352          8          4          7          5          3
Vardas353             Pavarde353          8          7          10          10          5
Vardas354             Pavarde354          9          9          3          7          5
Vardas355             Pavarde355          3          3          10          7          1
Vardas356             Pavarde356          3          9          8          2          6
Vardas357             Pavarde357          6          7          9          3          10
Vardas358             Pavarde358          8          5          4          8          7
Vardas359             Pavarde359          8          8          2          6          7
Vardas360             Pavarde360          6          5          7          5          1
Vardas361             Pavarde361          5          7          2          9          4
Vardas362             Pavarde362          3          7          9          2          10
Vardas363             Pavarde363          3          8          6          6          10
Vardas364             Pavarde364          9          5          1          4          6
Vardas365             Pavarde365          4          4          6          7          3
Vardas366             Pavarde366          5          1          8          10          5
Vardas367             Pavarde367          9          10          10          10          3
Vardas368             Pavarde368          3          7          1          2          7
Vardas369             Pavarde369          7          7          2          5          3
Vardas370             Pavarde370          4          4          3          1          4
Vardas371             Pavarde371          2          4          10          2          7
Vardas372             Pavarde372          8          9          6          10          1
Vardas373             Pavarde373          10          10          1          8          3
Vardas374             Pavarde374          4          3          7          3          4
Vardas375             Pavarde375          3          1          7          2          5
Vardas376             Pavarde376          4          1          1          8          9
Vardas377             Pavarde377          2          6          2          6          7
Vardas378             Pavarde378          1          1          3          10          8
Vardas379             Pavarde379          7          8          10          9          5
Vardas380             Pavarde380          8          6          8          8          2
Vardas381             Pavarde381          8          1          1          10          4
Vardas382             Pavarde382          10          7          1          5          5
Vardas383             Pavarde383          8          7          7          8          9
Vardas384             Pavarde384          1          6          4          4          8
Vardas385             Pavarde385          1          2          8          1          4
Vardas386             Pavarde386          1          6          10          9          4
Vardas387             Pavarde387          6          6          6          7          7
Vardas388             Pavarde388          1          3          10          2          1
Vardas389             Pavarde389          3          10          8          8          6
Vardas390             Pavarde390          10          8          8          8          10
Vardas391             Pavarde391          9          6          5          7          2
Vardas392             Pavarde392          4          4          1          10          6
Vardas393             Pavarde393          6          6          4          10          3
Vardas394             Pavarde394          6          7          7          2          6
Vardas395             Pavarde395          6          9          5          5          9
Vardas396             Pavarde396          6          4          9          10          5
Vardas397             Pavarde397          3          7          10          2          2
Vardas398             Pavarde398          4          2          9          8          3
Vardas399             Pavarde399          9          6          4          3          3
Vardas400             Pavarde400          9          8          10          10          5
Vardas401             Pavarde401          1          7          9          5          7
Vardas402             Pavarde402          8          1          9          4          3
Vardas403             Pavarde403          6          10          4          10          3
Vardas404             Pavarde404          9          1          5          6          10
Vardas405             Pavarde405          4          9          8          10          5
Vardas406             Pavarde406          3          6          10          10          10
Vardas407             Pavarde407          3          4          10          10          5
Vardas408             Pavarde408          7          10          7          6          10
Vardas409             Pavarde409          4          6          8          3          1
Vardas410             Pavarde410          9          4          4          10          5
Vardas411             Pavarde411          9          10          3          6          5
Vardas412             Pavarde412          3          8          2          5          2
Vardas413             Pavarde413          8          3          1          4          8
Vardas414             Pavarde414          5          6          1          8          1
Vardas415             Pavarde415          5          5          3          7          6
Vardas416             Pavarde416          2          6          8          7          3
Vardas417             Pavarde417          2          8          6          7          2
Vardas418             Pavarde418          1          9          1          1          9
Vardas419             Pavarde419          3          10          5          9          8
Vardas420             Pavarde420          6          7          2          1          2
Vardas421             Pavarde421          9          8          1          2          1
Vardas422             Pavarde422          7          5          7          5          10
Vardas423             Pavarde423          5          4          7          3          9
Vardas424             Pavarde424          7          8          7          9          3
Vardas425             Pavarde425          3          4          4          3          2
Vardas426             Pavarde426          1          2          7          9          9
Vardas427             Pavarde427          3          4          8          7          5
Vardas428             Pavarde428          6          10          4          5          6
Vardas429             Pavarde429          3          1          6          9          3
Vardas430             Pavarde430          10          1          2          8          10
Vardas431             Pavarde431          1          1          3          8          5
Vardas432             Pavarde432          7          6          10          6          2
Vardas433             Pavarde433          3          4          3          5          4
Vardas434             Pavarde434          2          5          2          1          1
Vardas435             Pavarde435          4          7          6          7          5
Vardas436             Pavarde436          10          10          7          4          6
Vardas437             Pavarde437          2          6          10          7          10
Vardas438             Pavarde438          7          8          1          6          2
Vardas439             Pavarde439          8          5          1          7          10
Vardas440             Pavarde440          4          6          5          10          1
Vardas441             Pavarde441          7          10          1          5          9
Vardas442             Pavarde442          1          2          9          5          6
Vardas443             Pavarde443          8          10          7          6          10
Vardas444             Pavarde444          1          8          6          1          3
Vardas445             Pavarde445          4          7          2          9          8
Vardas446             Pavarde446          9          8          7          10          1
Vardas447             Pavarde447          7          8          7          1          8
Vardas448             Pavarde448          9          9          7          3          2
Vardas449             Pavarde449          4          6          9          1          1
Vardas450             Pavarde450          2          6          7          5          9
Vardas451             Pavarde451          7          7          2          9          8
Vardas452             Pavarde452          4          1          5          4          1
Vardas453             Pavarde453          1          7          5          9          3
Vardas454             Pavarde454          8          3          10          7          10
Vardas455             Pavarde455          1          9          5          9          4
Vardas456             Pavarde456          6          2          8          3          1
Vardas457             Pavarde457          3          1          6          3          7
Vardas458             Pavarde458          10          2          6          10          4
Vardas459             Pavarde459          3          4          5          4          4
Vardas460             Pavarde460          1          3          4          2          4
Vardas461             Pavarde461          10          8          10          4          2
Vardas462             Pavarde462          10          4          7          3          1
Vardas463             Pavarde463          3          7          9          2          9
Vardas464             Pavarde464          5          6          9          10          3
Vardas465             Pavarde465          8          10          5          7          8
Vardas466             Pavarde466          4          9          10          2          5
Vardas467             Pavarde467          1          2          6          1          1
Vardas468             Pavarde468          8          2          6          1          5
Vardas469             Pavarde469          1          3          3          6          6
Vardas470             Pavarde470          2          1          3          10          5
Vardas471             Pavarde471          8          3          3          2          7
Vardas472             Pavarde472          1          7          5          9          6
Vardas473             Pavarde473          1          4          3          9          10
Vardas474             Pavarde474          2          6          9          4          1
Vardas475             Pavarde475          1          10          3          10          1
Vardas476             Pavarde476          9          5          3          7          8
Vardas477             Pavarde477          5          9          1          5          4
Vardas478             Pavarde478          10          2          10          1          8
Vardas479             Pavarde479          2          3          6          9          2
Vardas480             Pavarde480          2          10          5          7          9
Vardas481             Pavarde481          1          3          2          1          8
Vardas482             Pavarde482          10          1          7          4          6
Vardas483             Pavarde483          1          8          9          7          5
Vardas484             Pavarde484          6          1          5          6          8
Vardas485             Pavarde485          1          3          7          3          8
Vardas486             Pavarde486          10          3          6          2          5
Vardas487             Pavarde487          2          10          1          7          1
Vardas488             Pavarde488          2          10          6          8          4
Vardas489             Pavarde489          4          4          8          3          1
Vardas490             Pavarde490          3          8          6          4          4
Vardas491             Pavarde491          3          3          9          4          8
Vardas492             Pavarde492          9          2          7          9          2
Vardas493             Pavarde493          3          4          9          4          4
Vardas494             Pavarde494          5          8          6          7          6
Vardas495             Pavarde495          1          3          7          1          4
Vardas496             Pavarde496          5          3          6          7          10
Vardas497             Pavarde497          7          2          1          1          4
Vardas498             Pavarde498          4          7          10          8          5
Vardas499             Pavarde499          9          10          6          2          3
Vardas500             Pavarde500          6          6          5          1          9
Vardas501             Pavarde501          5          3          10          2          5
Vardas502             Pavarde502          1          6          2          3          4
Vardas503             Pavarde503          6          3          6          10          4
Vardas504             Pavarde504          8          5          3          5          5
Vardas505             Pavarde505          4          3          7          9          10
Vardas506             Pavarde506          6          2          3          3          6
Vardas507             Pavarde507          10          5          9          5          8
Vardas508             Pavarde508          7          5          6          7          1
Vardas509             Pavarde509          2          8          1          7          5
Vardas510             Pavarde510          5          8          3          5          9
